Comments are, at best, a/an {{c1::necessary evil}}.	CleanCode	4	
Good comments: {{c1::legal}}, {{c1::informative}}, {{c1::intent}}, {{c2::clarification}}, {{c2::warning of consequences}}, {{c2::todos}}, {{c3::amplification}}, {{c3::Javadocs in Public APIs}}	CleanCode	4	
{{c1::Legal}} comments: {{c2::have your IDE hide them}}	CleanCode	4	
{{c1::Informative}} comments: {{c2::try to rename the function; if can't, move to another class & rename; if can't, OK}}	CleanCode	4	
{{c1::Intent}} comments: {{c2::decision may have been right or wrong, but best to tell Fut why decision made so}}	CleanCode	4	
{{c1::Clarification}} comments: {{c2::only OK when in code you cannot alter}}	CleanCode	4	
{{c1::Warning of Consequences}} comments: {{c2::be as safe as you can w/OO princps, but better //WARNING than nothing}}	CleanCode	4	
{{c1::TODO}} comments: {{c2::NOT an excuse to leave bad code in the system}}	CleanCode	4	
{{c1::Amplification}} comments: {{c2::subtext of Warning of Consequences; explaining neccessary code}}	CleanCode	4	
{{c1::JavaDocs in Public APIs}} comments: {{c2::good}}	CleanCode	4	
{{c1::JavaDocs in non-Public APIs}} comments: {{c2::bad}}	CleanCode	4	
Any comment that {{c1::forces you to look in another module for the meaning of that comment}} has failed to communicate to you and is not worth the bits it consumes.	CleanCode	4	
{{c1::Banner}} comments: {{c2::use almost never: very sparingly and only when benefit is significant, lest they become noise}}	CleanCode	4	
{{c1::Closing brace}} comments: {{c2::NO. use shorter functions.}}	CleanCode	4	
{{c1::Commented-out code}} comments: {{c2::NO. use version control.}}	CleanCode	4	
{{c1::HTML}} comments: {{c2::NO. delegate to a tool to transform, like Javadoc.}}	CleanCode	4	
{{c1::Nonlocal information}} comments: {{c2::NO. even if useful, too likely to rot.}}	CleanCode	4	
{{c1::Inobvious connection}} comments: {{c2::NO. Pity when a comment needs its own explanation.}}	CleanCode	4	
{{c1::Misleading}} comments: {{c2::NO. Do everything in code you can to avoid accidents.}}	CleanCode	4	

